Codigo;Precio;Descripcion;CodBarras;idproveedor;descuento;ganancia
9103;"2963,46";Chupete Redondo de Silicona Minnie Small                                                          ;7796384091033;2;;
9104;"2963,46";Chupete Redondo de Silicona Minnie Medium                                                   ;7796384091040;2;;
9105;"2963,46";Chupete Redondo de Silicona Minnie Large                                                         ;7796384091057;2;;
9137;"8751,48";Vaso Doble Valvula con Pico Duro Redondo y Asas - Mickey                        ;7796384091378;2;;
9138;"8751,48";Vaso Doble Valvula con Pico Duro Redondo y Asas - Minnie                          ;7796384091385;2;;
9200;"4573,77";Pack x2 CHUPETES  T/SIL SMALL ANATOMICO - CONTENEDOR PLASTICO - MICKEY           ¡NUEVOS!;7798143692000;2;;
9201;"4573,77";Pack x2 CHUPETES  T/SIL MEDIUM ANATOMICO - CONTENEDOR PLASTICO - MICKEY       ¡NUEVOS!;7798143692017;2;;
9202;"4573,77";Pack x2 CHUPETES PLUS T/SIL LARGE ANATOMICO -CONTENEDOR PLASTICO - MICKEY    ¡NUEVOS!;7798143692024;2;;
9203;"4573,77";Pack x2 CHUPETES  T/SIL SMALL ANATOMICO - CONTENEDOR PLASTICO - MINNIE             ¡NUEVOS!;7798143692031;2;;
9204;"4573,77";Pack x2 CHUPETES  T/SIL MEDIUM ANATOMICO - CONTENEDOR PLASTICO - MINNIE         ¡NUEVOS!;7798143692048;2;;
9205;"4573,77";Pack x2 CHUPETES PLUS T/SIL LARGE ANATOMICO -CONTENEDOR PLASTICO - MINNIE      ¡NUEVOS!;7798143692055;2;;
9206;"4573,77";Pack x2 CHUPETES T/SIL EXTRA LARGE SIMETRICO - CONTENEDOR PLASTICO - MICKEY ;7798143692062;2;;
9207;"4573,77";Pack x2 CHUPETES T/SIL EXTRA LARGE SIMETRICO - CONTENEDOR PLASTICO - MINNIE ;7798143692079;2;;
9237;"8751,48";Vaso Doble Valvula con Pico Duro Ancho y Asas - Mickey                             ;7796384092375;2;;
9238;"8751,48";Vaso Doble Valvula con Pico Duro Ancho y Asas - Minnie                               ;7796384092382;2;;
9337;"10099,02";Vaso con pajita antiderrale y Asas - Mickey                                                          ;7796384093372;2;;
9338;"10099,02";Vaso con pajita antiderrale y Asas - Minnie                                                          ;7796384093389;2;;
9437;"10377,40";Vaso 360 Mickey                           ¡NUEVO!;7796384094379;2;;
9438;"10377,40";Vaso 360 Minnie        ¡NUEVO!;7796384094386;2;;
